"Status" "Duration" "History" "Purpose" "Amount" "Savings" "Employment" "Disposable" "Personal" "OtherParties" "Residence" "Property" "Age" "Plans" "Housing" "Existing" "Job" "Dependants" "Telephone" "Foreign" "CreditScore"
"Negative" 6 "E" "Television" 1169 "Unknown" "VeryLong" 4 "M:Single" "None" 4 "House" 67 "None" "Own" 2 "Skilled" 1 "Yes" "Yes" 636.173659720081
"Small" 48 "C" "Television" 5951 "Low" "Medium" 2 "F:DivSepMar" "None" 2 "House" 22 "None" "Own" 1 "Skilled" 1 "No" "Yes" 371.940604846354
"None" 12 "E" "Education" 2096 "Low" "Long" 2 "M:Single" "None" 3 "House" 49 "None" "Own" 1 "Unskilled" 2 "No" "Yes" 677.785456369306
"Negative" 42 "C" "Furniture" 7882 "Low" "Long" 2 "M:Single" "Guarantor" 4 "Savings" 45 "None" "RentFree" 1 "Skilled" 2 "No" "Yes" 613.142046978139
"None" 36 "C" "Education" 9055 "Unknown" "Medium" 2 "M:Single" "None" 4 "None" 35 "None" "RentFree" 1 "Unskilled" 2 "Yes" "Yes" 575.151462394318
"None" 24 "C" "Furniture" 2835 "Large" "VeryLong" 3 "M:Single" "None" 4 "Savings" 53 "None" "Own" 1 "Skilled" 1 "No" "Yes" 699.240445344014
"Small" 36 "C" "UsedCar" 6948 "Low" "Medium" 2 "M:Single" "None" 2 "Car" 35 "None" "Rent" 1 "Management:Self" 1 "Yes" "Yes" 532.92746346078
"Small" 30 "E" "NewCar" 5234 "Low" "Unemployed" 4 "F:Single" "None" 2 "Car" 28 "None" "Own" 2 "Management:Self" 1 "No" "Yes" 388.778836871012
"Small" 12 "C" "NewCar" 1295 "Low" "Short" 3 "F:DivSepMar" "None" 1 "Car" 25 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 498.536709806117
"Negative" 48 "C" "Business" 4308 "Low" "Short" 3 "F:DivSepMar" "None" 4 "Savings" 24 "None" "Rent" 1 "Skilled" 1 "No" "Yes" 453.955385124312
"Negative" 24 "E" "NewCar" 1199 "Low" "VeryLong" 4 "M:Single" "None" 4 "Car" 60 "None" "Own" 2 "Unskilled" 1 "No" "Yes" 473.499440665823
